Time,Reading ID,Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Detector-Code,Status
0:00:00,1,43.5,21.3,98,0,400,OFF,0,0
0:00:01,2,43.5,21.3,97,0,400,OFF,0,0
0:00:02,3,43.6,21.4,97,0,400,OFF,0,0
0:00:03,4,43.6,21.4,97,0,400,OFF,0,0
0:00:04,5,43.7,21.4,98,0,400,OFF,0,0
0:00:05,6,43.7,21.4,98,0,400,OFF,0,0
0:00:06,7,43.7,21.4,98,0,400,OFF,0,0
0:00:07,8,43.7,21.4,98,0,400,OFF,0,0
0:00:08,9,43.6,21.4,98,0,400,OFF,0,0
0:00:09,10,43.6,21.4,98,0,400,OFF,0,0
0:00:10,11,43.7,21.4,98,0,400,OFF,0,0
0:00:11,12,43.7,21.4,98,0,400,OFF,0,0
0:00:12,13,43.7,21.4,98,0,400,OFF,0,0
0:00:13,14,43.7,21.4,98,0,400,OFF,0,0
0:00:14,15,43.7,21.4,98,0,400,OFF,0,0
0:00:15,16,43.7,21.4,98,0,400,OFF,0,0
0:00:16,17,43.7,21.4,98,3,401,OFF,0,0
0:00:17,18,43.7,21.4,98,6,402,OFF,0,0
0:00:18,19,43.6,21.4,97,9,412,OFF,0,0
0:00:19,20,43.6,21.4,98,11,405,OFF,0,0
0:00:20,21,43.6,21.4,97,11,405,OFF,0,0
0:00:21,22,43.6,21.4,98,11,408,OFF,0,0
0:00:22,23,43.6,21.4,97,13,408,OFF,0,0
0:00:23,24,43.6,21.4,98,12,416,OFF,0,0
0:00:24,25,43.6,21.4,98,13,404,OFF,0,0
0:00:25,26,43.6,21.4,98,14,406,OFF,0,0
0:00:26,27,43.6,21.4,98,17,404,OFF,0,0
0:00:27,28,43.6,21.4,97,15,400,OFF,0,0
0:00:28,29,43.6,21.4,97,11,406,OFF,0,0
0:00:29,30,43.6,21.4,97,17,413,OFF,0,0
0:00:30,31,43.6,21.4,98,9,405,OFF,0,0
0:00:31,32,43.6,21.5,97,15,403,OFF,0,0
0:00:32,33,43.6,21.5,98,11,413,OFF,0,0
0:00:33,34,43.6,21.4,97,11,412,OFF,0,0
0:00:34,35,43.6,21.4,98,17,414,OFF,0,0
0:00:35,36,43.6,21.4,98,18,410,OFF,0,0
0:00:36,37,43.6,21.4,98,19,415,OFF,0,0
0:00:37,38,43.6,21.4,97,18,409,OFF,0,0
0:00:38,39,43.6,21.4,98,21,412,OFF,0,0
0:00:39,40,43.7,21.5,98,11,415,OFF,0,0
0:00:40,41,43.7,21.5,98,14,411,OFF,0,0
0:00:41,42,43.7,21.5,97,14,404,OFF,0,0
0:00:42,43,43.7,21.5,98,14,402,OFF,0,0
0:00:43,44,43.7,21.5,98,15,400,OFF,0,0
0:00:44,45,43.7,21.5,98,9,401,OFF,0,0
0:00:45,46,43.7,21.5,98,10,404,OFF,0,0
0:00:46,47,43.7,21.5,98,12,400,OFF,0,0
0:00:47,48,43.7,21.5,98,11,401,OFF,0,0
0:00:48,49,43.7,21.5,98,14,400,OFF,0,0
0:00:49,50,43.7,21.5,98,10,400,OFF,0,0
0:00:50,51,43.7,21.5,98,10,401,OFF,0,0
0:00:51,52,43.7,21.5,98,9,400,OFF,0,1
0:00:52,53,43.7,21.5,98,11,400,OFF,0,1
0:00:53,54,43.7,21.5,97,10,401,OFF,0,1
